DET##cpos=D|g=m|n=s|s=neg##	Det:Mas+SG+Neg
DET##cpos=D|g=m|n=s|s=part##	Det:Mas+SG+Part
DET##cpos=D|mwehead=DET+|n=p|s=ind|pred=y##	Det:PL+Indef
DET##cpos=D|mwehead=DET+|s=card|pred=y##	Det:+Card
DET##cpos=D|mwehead=NPP+|n=s|s=def|pred=y##	Det:SG+Def
DET##cpos=D|mwehead=PRO+|n=p|s=ind|pred=y##	Det:PL+Indef
DET##cpos=D|mwehead=PRO+|n=s|s=def|pred=y##	Det:SG+Def
DET##cpos=D|mwehead=PRO+|n=s|s=ind|pred=y##	Det:SG+Indef
DET##cpos=D|n=p|s=dem|pred=y##	Det:PL+Dem
DET##cpos=D|n=p|s=ind|pred=y##	Det:PL+Indef
DET##cpos=D|n=s|pred=y##	Det:SG
DET##cpos=D|n=s|s=def##	Det:SG+Def
DET##cpos=D|n=s|s=def|pred=y##	Det:SG+Def
DET##cpos=D|s=card|pred=y##	Det:+Card
DET+	Det:
DETWH##cpos=D|g=f|n=p|s=int##	Det:Fem+SG+Intg
DETWH##cpos=D|g=f|n=s|s=int##	Det:Fem+SG+Intg
DETWH##cpos=D|g=m|n=p|s=int##	Det:Mas+PL+Intg
ET##cpos=ET|_##	For:
ET##cpos=ET|_|pred=y##	For:
ET##cpos=ET|mwehead=ADJ+|pred=y##	For:
ET##cpos=ET|mwehead=ADV+|pred=y##	For:
ET##cpos=ET|mwehead=ET+|pred=y##	For:
ET##cpos=ET|mwehead=NC+|pred=y##	For:
ET##cpos=ET|mwehead=NPP+|pred=y##	For:
ET+	For:
I##cpos=I|_##	Int:
I##cpos=I|mwehead=NPP+|pred=y##	Int:
NC##cpos=N|g=f|mwehead=ADJ+|n=p|s=c|pred=y##	Nom:Fem+PL+Com
NC##cpos=N|g=f|mwehead=NC+|n=p|s=c|pred=y##	Nom:Fem+PL+Com
NC##cpos=N|g=f|mwehead=NC+|n=p|s=neg|pred=y##	Nom:Fem+PL+Neg
NC##cpos=N|g=f|mwehead=NC+|n=s|s=c|pred=y##	Nom:Fem+SG+Com
NC##cpos=N|g=f|mwehead=NC+|s=c|pred=y##	Nom:Fem+Com
NC##cpos=N|g=f|mwehead=NPP+|n=s|s=c|pred=y##	Nom:Fem+SG+Com
NC##cpos=N|g=f|mwehead=P+|n=s|s=c|pred=y##	Nom:Fem+SG+Com
NC##cpos=N|g=f|mwehead=P+|s=c|pred=y##	Nom:Fem+Com
NC##cpos=N|g=f|mwehead=P+D+|n=s|s=c|pred=y##	Nom:Fem+SG+Com
NC##cpos=N|g=f|mwehead=P+D+|s=c|pred=y##	Nom:Fem+Com
NC##cpos=N|g=f|n=p|s=c##	Nom:Fem+PL+Com
NC##cpos=N|g=f|n=p|s=c|pred=y##	Nom:Fem+PL+Com
NC##cpos=N|g=f|n=s|s=c##	Nom:Fem+SG+Com
NC##cpos=N|g=f|n=s|s=c|pred=y##	Nom:Fem+SG+Com
NC##cpos=N|g=f|n=s|s=card##	Nom:Fem+SG+Card
NC##cpos=N|g=f|s=c|pred=y##	Nom:Fem+Com
NC##cpos=N|g=m|mwehead=DET+|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|mwehead=NC+|n=p|pred=y##	Nom:Mas+PL
NC##cpos=N|g=m|mwehead=NC+|n=p|s=c|pred=y##	Nom:Mas+PL+Com
NC##cpos=N|g=m|mwehead=NC+|n=s|pred=y##	Nom:Mas+SG
NC##cpos=N|g=m|mwehead=NC+|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|mwehead=NC+|n=s|s=neg|pred=y##	Nom:Mas+SG+Neg
NC##cpos=N|g=m|mwehead=NC+|s=c|pred=y##	Nom:Mas+Com
NC##cpos=N|g=m|mwehead=NPP+|n=p|pred=y##	Nom:Mas+PL
NC##cpos=N|g=m|mwehead=NPP+|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|mwehead=P+|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|mwehead=P+D+|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|n=p|s=c##	Nom:Mas+PL+Com
NC##cpos=N|g=m|n=p|s=c|pred=y##	Nom:Mas+PL+Com
NC##cpos=N|g=m|n=p|s=card##	Nom:Mas+PL+Card
NC##cpos=N|g=m|n=p|s=card|pred=y##	Nom:Mas+PL+Card
NC##cpos=N|g=m|n=s|s=c##	Nom:Mas+SG+Com
NC##cpos=N|g=m|n=s|s=c|pred=y##	Nom:Mas+SG+Com
NC##cpos=N|g=m|n=s|s=card##	Nom:Mas+SG+Card
NC##cpos=N|g=m|n=s|s=ind|pred=y##	Nom:Mas+SG+Indef
NC##cpos=N|g=m|n=s|s=neg|pred=y##	Nom:Mas+SG+Neg
NC##cpos=N|g=m|s=c|pred=y##	Nom:Mas+Com
NC##cpos=N|g=m|s=card|pred=y##	Nom:Mas+Card
NC##cpos=N|mwehead=ADV+|s=c|pred=y##	Nom:Com
NC##cpos=N|mwehead=NC+|n=p|s=c|pred=y##	Nom:PL+Com
NC##cpos=N|mwehead=NC+|n=s|s=c|pred=y##	Nom:SG+Com
NC##cpos=N|mwehead=NC+|s=c|pred=y##	Nom:Com
NC##cpos=N|mwehead=VPP+|s=c|pred=y##	Nom:Com
NC##cpos=N|n=p|s=c|pred=y##	Nom:PL+Com
NC##cpos=N|n=s|s=c|pred=y##	Nom:SG+Com
NC##cpos=N|s=c|pred=y##	Nom:Com
NC##cpos=N|s=card|pred=y##	Nom:Card
NC+	Nom:
NP	NP:
NPP##cpos=N|g=f|mwehead=NPP+|n=s|s=p|pred=y##	Nom:Fem+SG+Prop
NPP##cpos=N|g=f|n=p|s=p##	Nom:Fem+PL+Prop
NPP##cpos=N|g=f|n=s|s=p##	Nom:Fem+SG+Prop
NPP##cpos=N|g=f|n=s|s=p|pred=y##	Nom:Fem+SG+Prop
NPP##cpos=N|g=m|mwehead=NPP+|n=s|s=p|pred=y##	Nom:Mas+SG+Prop
NPP##cpos=N|g=m|n=p|s=p##	Nom:Mas+PL+Prop
NPP##cpos=N|g=m|n=s|s=p##	Nom:Mas+SG+Prop
NPP##cpos=N|g=m|n=s|s=p|pred=y##	Nom:Mas+SG+Prop
NPP##cpos=N|mwehead=NPP+|n=s|s=p|pred=y##	Nom:SG+Prop
NPP##cpos=N|mwehead=NPP+|s=p|pred=y##	Nom:Prop
NPP##cpos=N|n=s|s=p##	Nom:SG+Prop
NPP##cpos=N|n=s|s=p|pred=y##	Nom:SG+Prop
NPP##cpos=N|s=p|pred=y##	Nom:Prop
NPP+	Nom:Prop
P##cpos=P|_##	Pre:
P##cpos=P|_|pred=y##	Pre:
P##cpos=P|mwehead=ADJ+|pred=y##	Pre:
P##cpos=P|mwehead=ADV+|pred=y##	Pre:
P##cpos=P|mwehead=CS+|pred=y##	Pre:
